Partner ID,Brand,Category,Sub-Category,Product Titles,SKU,Partner SKU
46272,WishCare,Hair Personal Care,Hair Care,"Hair Growth Serum Concentrate - 3% Redensyl, 4% Anagain, 2% Baicapil, Caffeine, Biotin, Plant Keratin & Rice Water - Hair Growth Serum and Hair growth oil for Men & Women",ZE76429E45999B752B788Z-1,WHGS30
46272,WishCare,Hair Personal Care,Lip Care,Tinted Ceramide Lip Balm with SPF50 PA+++ - Kojic Acid & Niacinamide - For Lip Lightening & Protection 5gm,Z7C540D2EC016330A32A6Z-1,P1CLB5
46272,WishCare,Hair Personal Care,Hair Care,"Multi Peptide Anti Hairfall Shampoo Paraben & Sulphate Free Shampoo for Women & Men with Rice Water, Rosemary for Hairfall Control 250ml",Z510404DC1F6F97610CD9Z-1,RWS250
46272,WishCare,Hair Personal Care,Skin Care,5% Niacinamide Oil Balance Fluid Sunscreen SPF 50 PA++++ - Lightweight Matte Sunscreen SPF 50 for Oily Skin & No White Cast 50g,Z4F117B9092B9502C3FE3Z-1,NOBFS50
46272,WishCare,Hair Personal Care,Body Care,"Underarm Roll On Serum - 5% AHA, 3% Kojic Acid, HA, Licorice - Underarm Lightening & Odour Control - Long Lasting Aqua Fragrance-50ml",Z22F05AE61D48BEF7BDD3Z-1,UARM50
46272,WishCare,Hair Personal Care,Body Care,SPF50 Sunscreen Body Lotion - Broad Spectrum - UVA & UVB Protection with No White Cast - With Carrot Seed & Raspberry - For Men & Women - 200 Ml,Z53472DF62FB0A6944008Z-1,SPFBL200
46272,WishCare,Hair Personal Care,Body Care,"10% AHA + 1% BHA Body Lotion for Men & Women - Body lotion for dry skin - Detans, Smooths Rough & Bumpy Skin 200ml",Z682FC150370E0641196EZ-1,ABBL2001
46272,WishCare,Hair Personal Care,Lip Care,"Ceramide Lip Balm with SPF 50 PA+++ | Natural Lip Lightening Balm with Ceramides, Kojic Acid, Niacinamide & Cocoa Butter | Protects & Lightens Pigmented Lips | Sun Protection Lip Care",Z0CB45E2408542CB73B47Z-1,CLB5
46272,WishCare,Hair Personal Care,Hair Care,"Hydrating AHA BHA Anti Dandruff Shampoo For Women & Men- Piroctone Olamine, Salicylic Acid, LHA, Climbazole, Pre+Probiotics & Hyaluronic Acid - Paraben & Sulphate Free Shampoo 250ml",ZC887FFE285E001E3C488Z-1,ABADS250
46272,WishCare,Hair Personal Care,Skin Care,"100% Pure & Natural Rose Water - For Skin, Face & Hair - Steam Distilled - Kannauj Gulab Jal - Spray Skin Toner - Free From Paraben, Alcohol & Chemicals - 200 ml",Z96591AEF86519EC50244Z-1,WRW200
46272,WishCare,Hair Personal Care,Skin Care,"2% Salicylic Acid Face Wash with AHA, GreenTea, Chamomile & TeaTree - For Oil & Acne Control",ZCD8404BB0221CFC89DA6Z-1,SAFW100
47461,Lenovo,Electronics,Laptops,"Renewed - ThinkPad T450s Laptop With 14-Inch Display,Intel Core i5 Processor/5th Gen/8GB RAM/256GB SSD/5500MB Intel HD Graphics/Windows 10 Pro Black",N53361285A,PSKU_74949_61369526723124659425_X
47461,Lenovo,Electronics,Laptops,"Renewed - Chromebook N23 Laptop With 11.6-Inch Display,Intel Celeron Processor/3rd Gen/4GB RAM/16GB eMMC/Integrated Graphics Black",N50609444A,PSKU_47461_88263313090360942221_X
47461,Acer,Electronics,Laptops,"Renewed - Chromebook C731 With 11.6-Inch Display,Intel Celeron N3060 1.6Ghz Dual core Processor/4GB RAM/16GB eMMC/Chrome OS/Intel HD Graphics 400 English Black",N70092406V-1,PSKU_47461_16197784465733515551_X
47461,DELL,Electronics,Laptops,"Renewed - Latitude 5400 Business Laptop With 14-Inch Full HD Display,Core i7-8665U Processor/16GB RAM/512GB SSD/Intel UHD Graphics/Windows 10 Pro English Black",N53383245A,PSKU_74949_89703382123609113179_X
47461,ASUS,Electronics,Laptops,"Renewed - Chromebook C202S Laptop With 11.6-Inch Display,Celeron Processor/4GB RAM/16GB/Integrated Intel HD Graphics/Chrome OS English Dark Blue/White English Dark Blue/White",N53408657A,PSKU_47461_50695062168429941662_X
46272,WishCare,Hair Personal Care,Hair Care,Triple Bond Repair Shampoo for Dry & Frizzy Hair - 5% AminoPeptide Complex & PCA - Repairs Damaged & Frizzy Hair 250ml,Z52F99A3F7D158097F44FZ-1,BRSH250
46272,WishCare,Hair Personal Care,Skin Care,"Invisible Gel Sunscreen SPF 50+ PA++++ - Ultra Light Weight, Oil Free with Broad Spectrum Protection & No White Cast - 50 Grams",ZFBB669A30E7A93A48474Z-1,WIGS50
47461,DELL,Electronics,Laptops,"Renewed - Latitude E7240 Laptop With 12.5-Inch Display,Intel Core i5 Processor/4th Gen/8GB RAM/256GB SSD/Intel HD Graphics 4400 English Silver",N49272772A,PSKU_74949_41285012921899541677_X
47461,DELL,Electronics,Laptops,"Renewed - Latitude 7240 Laptop With 12.5-Inch HD Display,Core i5/Dual Core/4th Gen/8GB RAM/128GB SSD/Windows 10/Intel HD Graphics English Black English Black",N70065083V-1,PSKU_74949_21476089281383683852_X
47461,Lenovo,Electronics,Laptops,"Refurbished - Thinkpad T450 Laptop With 14-Inch Display,Intel Core i5 Processor/5th Gen/8GB RAM/256GB SSD/Windows 10 English Black",N49265932A,PSKU_74949_40773257558078828511_X
47461,DELL,Electronics,Laptops,"Renewed - Latitude E7270 Laptop With 12-Inch Display,Intel Core i5 Processor/6th Gen/8GB RAM SSD/256GB SSD/Intel Graphics Black",N53361275A,PSKU_74949_68908400522364666838_X
74949,Lenovo,Electronics,Laptops,"Renewed - Chromebook 300e With 11.6-Inch Touch & 360 Rotate Display,Intel Celeron Processor/Dual Core/4GB RAM/32GB SSD/Intel HD Graphics 400 English Black",N70065080V-1,PSKU_74949_47401058656725884557_X
74949,HP,Electronics,Laptops,"Renewed - Chromebook Q151 G4 Laptop With 11.6-Inch Display, Intel Celeron N2840/2nd Gen/4GB RAM/16GB SSD/Intel HD Graphics English Black",N48668688A,PSKU_74949_12505804257786143358_X
74949,HP,Electronics,Laptops,"Renewed - Chromebook G5 EE Laptop With 11.6-Inch Display, Intel Celeron-5th Gen/4GB RAM/16GB SSD/Chrome OS English Black",N53359169A,PSKU_74949_03452059595826530311_X
74949,DELL,Electronics,Laptops,"Renewed - Chromebook 3100 With 11.6 Inch Display,Celeron N4020/4 GB RAM/16 GB SSD/Chrome OS/Intel HD Graphics English Black",N53368947A,PSKU_74949_59623046023519747063_X
47461,Apple,Electronics,Laptops,"Renewed - Macbook Pro A1278 (2012) Laptop With 13.3-Inch Display, Core i5 Processor/10-Core/6GB RAM/500GB HDD/macOS English Silver",N70003478V-1,PSKU_47461_16902210416648866374_X
47461,Lenovo,Electronics,Laptops,"Renewed - T440 ThinkPad Laptop With 14.1 Inch Display,Intel Core i5-4th Gen/8GB DDR3L RAM/256GB SSD,Windows 10 Pro English Black",N53400760A,PSKU_47461_68813176090250824939_X
47461,Lenovo,Electronics,Laptops,"Renewed - ThinkPad T470 Laptop With 14-Inch Display,Intel Core i5 Processor/6th Gen/16GB RAM/256GB SSD/Intel HD Graphics English Black",N49798238A,PSKU_74949_54950870982634199749_X
47461,Lenovo,Electronics,Laptops,"Renewed - Thinkpad T440 Laptop With 14-Inch Display,Intel Core i5 Processor/4th GEN/8GB RAM/256GB SSD/Windows 10 black",N46137174A,PSKU_74949_40590271694478391611_X
47461,Apple,Electronics,Mobile,Renewed - iPhone 11 128GB White 4G - International Version,N42631121A,PSKU_47461_55976359850643710696_X
47461,Lenovo,Electronics,Laptops,"Renewed - Thinkpad X1 Yoga 2 IN 1 Laptop With 14-Inch Touch Screen Display ,Intel Core i5 Processor/8th Gen/16GB RAM/512GB SSD/Intel UHD Graphics 620/Windows 10 Pro English Black",N70071722V-1,PSKU_47461_08195251101708617559_X
74949,Acer,Electronics,Laptops,"Renewed - Convertible 2-in-1 Chromebook R751T With 11.6-Inch HD Touchscreen Display,Intel N3350 1.6Ghz up to 2.48GHz Processor/4GB RAM/32GB eMMC/Chrome OS English Black",N70092405V-1,PSKU_74949_41624561975773013192_X
47461,HP,Electronics,Laptops,"Renewed - Elitebook 840 G3 L3C65AV Laptop With 14-Inch Display,Intel Core i5 Processor/6th Gen/8GB RAM/256GB SSD/Intel HD Graphics 520 English Silver",N50366890A,PSKU_74949_05416197957284437585_X
47461,HP,Electronics,Laptops,"Renewed - EliteBook 840 G6 Laptop With 14 Inch FHD Display,Intel Core i7 16GB DDR4 RAM/8th Generation/512GB SSD/Windows 10 Pro Silver",N53392154A,PSKU_74949_24286028587830611469_X
47461,Lenovo,Electronics,Laptops,"Renewed - ThinkPad T470 Laptop With 14-Inch Display,Intel Corei5 Processor/6th Gen/8GB RAM/256GB SSD/Intel HD Graphics Black",N49798236A,PSKU_74949_80700981535403293758_X
47461,Lenovo,Electronics,Laptops,"Renewed - ThinkPad T460 With 14-Inch FHD Display,Core i5 Processor/6th Generation/8GB Ram/256GB SSD/Intel HD Graphics English Black",N53401633A,PSKU_74949_40289894536799639577_X
47461,Acer,Electronics,Laptops,"Renewed - Chromebook R11 Convertible 2-In-1 Laptop With 11.6-Inch Touchscreen Display With Google Play Store,Intel Celeron Processor/6th Gen/4GB RAM/16GB SSD/Integrated Graphics English Black",N70003483V-1,PSKU_47461_09059347036107870868_X
47461,HP,Electronics,Laptops,"Renewed - EliteBook 840 G6 Laptop With 14 Inch FHD Display,Intel Core i7 16GB DDR4 RAM/8th Generation/512GB SSD/Windows 10 Pro Silver",N53392168A,PSKU_74949_69273435757346831381_X
47461,Lenovo,Electronics,Laptops,"Renewed - Chromebook N22 Laptop With 11.6-Inch Display,Celeron Processor/4GB RAM/16GB eMMC/5th Gen/Chrome OS/Integrated Graphics English Black",N51319770A,PSKU_47461_52716629156816507741_X
47461,Lenovo,Electronics,Laptops,"Renewed - ThinkPad X390 Laptop With 13.3-Inch Display,Intel Core i5 8th Gen/8GB RAM/512GB SSD/Windows 10 Pro English Black",N53430508A,PSKU_74949_34679630879874518034_X
47461,Lenovo,Electronics,Laptops,"Renewed - ThinkPad T490s Laptop With 14-Inch Display,Intel(R)-Core(TM)-i7/Quad Core/8th Gen/16GB RAM/512GB SSD/Windows 10 Pro English Black",N70085601V-1,PSKU_74949_42596491300145837899_X
47461,Apple,Electronics,Laptops,"Renewed - MacBook Pro A1398 (2012) Laptop With 15-Inch Display, Intel Core i7 Processor/Quad Core/8GB RAM/256GB SSD/Windows 10 English Black",N70052716V-1,PSKU_47461_56330900208401036396_X
47461,Apple,Electronics,Laptops,"Renewed - MacBook Pro A1278 (2012) Laptop With 13.3-Inch HD Display, Core i5 Processor/Quad Core/8GB RAM/256GB SSD/macOS English Silver",N70072013V-1,PSKU_47461_33036366949482192705_X
74949,Lenovo,Electronics,Laptops,"Renewed - Chromebook 100e Laptop With 11.6-Inch Display,MediaTek MTK 8173C Processor/4GB RAM/32GB eMMC/8th Gen/Chrome OS/Integrated Graphics Black",N51319771A,PSKU_74949_35059336290083534502_X
47461,Lenovo,Electronics,Laptops,"Renewed - Thinkpad 11e Yoga Laptop With 11.6-Inch HD Touch Screen Display,Celeron/5th Gen/8GB DDR3 RAM/256GB SSD/Windows 10 Pro English Black",N70043970V-1,PSKU_74949_78561202745005919916_X
47461,DELL,Electronics,Laptops,"Renewed - Latitude 7280 Laptop With 12.5-Inch Display,Intel Core i5 Processor/6th Gen/8GB RAM/256GB SSD/Intel HD Graphics English Black",N53334103A,PSKU_74949_79548429802484874328_X
47461,Lenovo,Electronics,Laptops,"Renewed - Thinkpad T470s Laptop With 14-Inch Display,Intel Core i5 Processor/6th Gen/8GB RAM/256GB SSD/Intel HD Graphics 620 English Black",N70013209V-1,PSKU_74949_93037737181971319490_X
47461,Apple,Electronics,Mobile,Renewed - iPhone 13 Pro Max 256GB Gold 5G With Facetime - International Version,N53352450A,PSKU_47461_03869315032028639796_X
47461,HP,Electronics,Laptops,"Renewed - ProBook 640 G2 Laptop With 14-Inch Display, Intel Core i5/6th Gen/8GB RAM/256GB SSD/Intel UHD Graphics 620/Windows 10 Pro Black/silver",N53361414A,PSKU_74949_85908670054723841369_X
47461,Apple,Electronics,Mobile,Renewed - iPhone 11 128GB Purple 4G - International Version,N42631052A,11 128gb purple
47461,HP,Electronics,Laptops,"Renewed - Chromebook 11 G8 Laptop With 11.6-Inch HD Display, Celeron N4020/4GB RAM/32GB SSD/Chrome OS English Black",N70113083V-1,PSKU_47461_41134656341945721054_X
47461,Lenovo,Electronics,Laptops,"Renewed - Chromebook 100e Laptop With 11.6-Inch Display,MediaTek MTK 8173C Processor/4GB RAM/32GB EMMC Black",N43135957A,PSKU_47461_28781450176192700408_X
74949,Microsoft,Electronics,Laptops,"Renewed - Surface Pro 7 1866 2in1 Laptop With 12.3 inch Display,Intel Core i5/10th Gen/8GB RAM/256GB SSD,Intel Iris Graphics/Windows 10 Pro English Silver",N53384244A,PSKU_74949_29812149936993009338_X
47461,DELL,Electronics,Laptops,"Refurbished - Lattidue E7470 Laptop With 14-Inch Display,Intel Core i7 Processor/6th Gen/8GB RAM/256GB SSD/Intel HD Graphics 520 English Black",N52005479A,PSKU_74949_98280381527028987957_X
47461,Apple,Electronics,Mobile,Renewed - iPhone 13 Pro Max 256GB Graphite 5G With Facetime - International Version,N53352299A,13 Pro Max 256GB Graphite
47461,Apple,Electronics,Laptops,"Renewed - MacBook Air A1465 (2015) Laptop With 11.6-Inch HD Display, Core i5 Processor/Dual Core/8GB RAM/128GB SSD/macOS English Silver",N70053840V-1,PSKU_47461_45550907084292032423_X
47461,DELL,Electronics,Laptops,"Renewed - Latitude E7280 Laptop With 12.5-Inch Display,Intel Core i5 Processor/6th Gen/8GB RAM/256GB SSD/Windows 10 English Black",N70002135V-1,PSKU_74949_77575842383613442139_X
47461,Lenovo,Electronics,Laptops,"Renewed - Thinkpad T490 20NYS5SF00 Laptop With 14-Inch Display,Intel Core i5 Processor/8th GEN/16GB RAM/256GB SSD/256MB Intel UHD Integrated Graphics Black",N46137178A,PSKU_74949_21097811099179183249_X
47461,Lenovo,Electronics,Laptops,"Renewed - Thinkpad T470s Laptop With 14 Inch Display,Intel Core i7-6600U/8GB RAM/512GB SSD/Windows 10 English Graphite",N53404194A,PSKU_74949_63003821323339558319_X
47461,Apple,Electronics,Laptops,"Renewed - Macbook Pro A1502 (2015) Laptop With 13.3-Inch Display,Intel Core i5 Processor/5th Gen/8GB RAM/256GB SSD/1.5GB Intel Iris Graphics Silver",N50478895A,PSKU_47461_66370700622642570379_X
47461,Apple,Electronics,Laptops,"Renewed - MacBook Pro A1278 (2011) Laptop With 13.3-Inch Display, Core i5 Processor/8GB RAM/500GB SSD/macOS English Silver",N51630353A,PSKU_47461_28965941819612183336_X
47461,Apple,Electronics,Mobile,Renewed - iPhone 14 Pro Max 256GB Deep Purple 5G With Facetime - International Version,N53431280A,PSKU_47461_25972942111960250628_X
47461,Apple,Electronics,Mobile,Renewed - iPhone XR 128GB White 4G With Facetime - Middle East Version,N37936254A,XR With FaceTime
74949,DELL,Electronics,Laptops,"Refurbished - Chromebook 3120 Laptop With 11.6-Inch Display,Intel CeleronProcessor/2nd Gen/2GB RAM/16GB SSD/256MB Intel HD Graphics English Black",N51438097A,PSKU_74949_65008205419626731661_X
74949,HP,Electronics,Laptops,"Renewed - Chromebook 11 G6 EE Laptop With 11.6-Inch Display, Intel Celeron 1.10 GHz/2GB RAM/16GB Chrome OS English Black",N70019622V-1,PSKU_74949_99139525205557559017_X
74949,Lenovo,Electronics,Laptops,"Renewed - Chromebook 2-in-1 Laptop With 11.6-Inch HD Touch Display,Intel Celeron N3450/4GB RAM/32GB eMMC Drive/Chrome OS English Black",N70123449V-1,PSKU_74949_24197555177014325726_X
181587,CAT,Eyewear,Sunglasess,Precision 8513 Men Polarized Square Sunglasses Grey 55 mm,Z88051056F468BD7CBBDBZ-1,CPS-8513-108P
47461,Apple,Electronics,Laptops,"Renewed - MacBook Air A1465 (2015) Laptop With 11.6-Inch Display, Core i5 Processor/4GB RAM/120GB SSD/macOS English Silver",N51630013A,PSKU_74949_74886224095106218470_X
47461,Apple,Electronics,Mobile,Renewed - iPhone 13 Pro Max 256GB Sierra Blue 5G With Facetime - International Version,N53352315A,PSKU_47461_62467345917708484693_X
